live-discriminating-mutant: expected=0; actual=0; PASS
dotted-comparisons: expected=0; actual=0; PASS
hyphenated-dotted-comparisons: expected=0; actual=0; PASS
empty-dot-segment-spec: expected=3; actual=3; PASS
trailing-dot-spec: expected=3; actual=3; PASS
leading-dot-observation: expected=3; actual=3; PASS
empty-dot-segment-observation: expected=3; actual=3; PASS
unused-variable-warning: expected=0; actual=0; PASS
uppercase-observation: expected=3; actual=3; PASS
unknown-mutant-observation: expected=3; actual=3; PASS
all-true-mutant: expected=1; actual=1; PASS
required-observation-stays-true: expected=1; actual=1; PASS
positive-control-flipped: expected=1; actual=1; PASS
compilation-only-failure: expected=3; actual=3; PASS
compiler-error-with-runtime-failure: expected=3; actual=3; PASS
empty-observations: expected=3; actual=3; PASS
duplicate-observations: expected=3; actual=3; PASS
missing-positive-observation: expected=3; actual=3; PASS
missing-required-observation: expected=3; actual=3; PASS
partial-mutant-observations: expected=3; actual=3; PASS
no-op-mutation: expected=3; actual=3; PASS
missing-mutation-needle: expected=3; actual=3; PASS
missing-source-setup: expected=3; actual=3; PASS
BLOCKED: RuntimeError: fixture freeze failed: fatal: pathspec 'lean/lake-manifest.json' did not match any files

